,0,1,2,3,4
0,c#,winforms,,,
1,html,css,,,
2,c#,.net,,,
3,c#,,,,
4,javascript,html,,,
5,.net,,,,
6,c#,linq,,,
7,mysql,database,,,
8,performance,algorithm,language-agnostic,,
9,mysql,database,,,
10,c++,c,,,
11,arrays,,,,
12,sql,sql-server,,,
13,c#,.net,vb.net,,
14,php,,,,
15,html,,,,
16,c#,linq,,,
17,linq,,,,
18,ruby,,,,
19,eclipse,svn,,,
20,php,sql,database,,
21,linux,,,,
22,svn,,,,
23,.net,performance,,,
24,windows,svn,,,
25,c#,sql,vb.net,,
26,sql,asp.net,xml,,
27,java,xml,,,
28,java,php,oop,,
29,mysql,sql-server,,,
30,.net,database,,,
31,c#,.net,,,
32,php,,,,
33,.net,asp.net,svn,,
34,windows,,,,
35,sql-server,database,svn,,
36,c#,html,,,
37,linux,,,,
38,algorithm,language-agnostic,,,
39,c#,.net,asp.net,,
40,sql-server,,,,
41,php,arrays,,,
42,windows,,,,
43,mysql,sql-server,,,
44,.net,database,,,
45,c#,.net,,,
46,c,linux,,,
47,c++,,,,
48,svn,,,,
49,c#,,,,
50,sql,database,,,
51,php,,,,
52,c++,oop,,,
53,language-agnostic,,,,
54,python,xml,,,
55,string,language-agnostic,,,
56,java,,,,
57,objective-c,,,,
58,ruby-on-rails,ruby,,,
59,python,macos,,,
60,.net,,,,
61,c#,winforms,,,
62,python,windows,,,
63,ruby-on-rails,ruby,,,
64,python,,,,
65,language-agnostic,,,,
66,unit-testing,language-agnostic,,,
67,c#,asp.net,,,
68,c#,java,,,
69,sql-server,,,,
70,php,windows,,,
71,python,sql,database,,
72,c#,c++,,,
73,c++,visual-studio,,,
74,performance,algorithm,,,
75,ruby,,,,
76,sql,database,,,
77,c#,visual-studio,,,
78,asp.net,,,,
79,php,,,,
80,python,arrays,,,
81,php,database,,,
82,.net,database,,,
83,c#,.net,visual-studio,unit-testing,
84,.net,,,,
85,python,django,oop,,
86,string,language-agnostic,,,
87,c#,.net,performance,,
88,.net,,,,
89,python,mysql,,,
90,python,,,,
91,windows,visual-studio,,,
92,algorithm,language-agnostic,,,
93,c#,linq,,,
94,sql-server,database,,,
95,javascript,html,css,,
96,visual-studio,,,,
97,svn,git,,,
98,php,,,,
99,php,eclipse,debugging,,
100,language-agnostic,,,,
101,html,css,,,
102,sql-server,,,,
103,c#,database,,,
104,string,,,,
105,c#,.net,,,
106,python,oop,,,
107,linux,,,,
108,c#,asp.net,,,
109,ruby-on-rails,ruby,,,
110,c#,winforms,,,
111,c#,,,,
112,c++,regex,,,
113,sql,sql-server,,,
114,language-agnostic,,,,
115,language-agnostic,,,,
116,c++,windows,multithreading,debugging,
117,oop,,,,
118,c++,,,,
119,sql,database,performance,,
120,windows,language-agnostic,,,
121,c,,,,
122,sql,database,,,
123,svn,,,,
124,python,performance,,,
125,ruby,,,,
126,c#,.net,,,
127,regex,,,,
128,c#,c++,,,
129,svn,,,,
130,mysql,database,,,
131,sql,,,,
132,.net,,,,
133,.net,,,,
134,c#,.net,,,
135,ruby,,,,
136,c,,,,
137,language-agnostic,,,,
138,algorithm,language-agnostic,,,
139,windows,,,,
140,unit-testing,,,,
141,.net,,,,
142,.net,,,,
143,sql-server,,,,
144,asp.net,javascript,,,
145,php,,,,
146,asp.net,,,,
147,php,,,,
148,sql,,,,
149,php,,,,
150,python,,,,
151,macos,,,,
152,visual-studio,unit-testing,,,
153,html,,,,
154,c#,wpf,,,
155,c#,,,,
156,windows,,,,
157,iphone,,,,
158,sql-server,,,,
159,php,mysql,database,svn,
160,sql-server,,,,
161,ruby,language-agnostic,,,
162,visual-studio,,,,
163,windows,xml,linux,,
164,language-agnostic,,,,
165,asp.net,,,,
166,python,xml,database,,
167,php,regex,,,
168,c#,.net,unit-testing,,
169,php,,,,
170,svn,,,,
171,python,,,,
172,c#,,,,
173,c#,,,,
174,python,,,,
175,asp.net,javascript,,,
176,c#,vb.net,,,
177,c#,asp.net-mvc,,,
178,asp.net,.net,,,
179,sql,database,,,
180,c++,performance,,,
181,python,,,,
182,c#,,,,
183,c#,.net,,,
184,language-agnostic,oop,,,
185,svn,,,,
186,svn,,,,
187,windows,delphi,,,
188,sql-server,unit-testing,,,
189,java,,,,
190,sql,sql-server,,,
191,html,,,,
192,.net,performance,,,
193,.net,linq,,,
194,c#,asp.net-mvc,visual-studio,,
195,asp.net,,,,
196,java,,,,
197,asp.net,,,,
198,c#,asp.net,.net,,
199,c#,.net,,,
200,eclipse,unit-testing,,,
201,ruby,,,,
202,c#,,,,
203,c#,c++,,,
204,asp.net,,,,
205,c#,.net,,,
206,visual-studio,,,,
